,MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,SKEW,KURTOSIS,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,SKEW_f,KURTOSIS_f
0,-2.0,647.9700878333396,161.9592431895589,264.5107650465745,43735.14837098942,209.1295014362857,69965.94482552412,647.9700878333396,649.9700878333396,2.4496926910299717,[ 4.08366620e-07 -1.09870086e+00],[-1.20000057  2.0530899 ],12.979856819794312,279863.77930209646,4.317286488061466,14.91797125463868,12.979856819794312,[ 4.08366620e-07 -1.09870086e+00],[-1.20000057  2.0530899 ]
0,-2.0,577.897080266655,144.3665821166007,235.90375647183717,34808.87228549465,186.57135976750197,55650.582317523855,577.897080266655,579.897080266655,2.449715464092858,[ 5.13338393e-07 -1.13705314e+00],[-1.20000071  1.54214486],11.621568618259584,222602.32927009542,3.8544523007011953,11.891543071666439,11.621568618259584,[ 5.13338393e-07 -1.13705314e+00],[-1.20000071  1.54214486]
0,-2.0,461.6320859010587,115.3654853840574,188.43863425530745,22199.92366210637,148.9963880840954,35509.11888000553,461.6320859010587,463.6320859010587,2.449774101395859,[ 8.04192722e-07 -1.33339478e+00],[-1.20000112  4.22240879],9.243861046706666,142036.4755200221,3.0759804989609774,7.574146271035773,9.243861046706666,[ 8.04192722e-07 -1.33339478e+00],[-1.20000112  4.22240879]
0,-2.0,555.0420806454558,138.88286177789777,226.57312178674235,32046.930220571325,179.0165640955365,51335.37951618998,555.0420806454558,557.0420806454558,2.4497260587152905,[ 5.56453042e-07 -1.72456715e+00],[-1.20000077  8.29438097],11.11510537737819,205341.5180647599,3.7017147040806155,10.967994414341842,11.11510537737819,[ 5.56453042e-07 -1.72456715e+00],[-1.20000077  8.29438097]
0,-1.999939,549.7620875080373,137.4125521335995,224.41727730386896,31480.90486861242,177.42859089958534,50363.114352481614,549.7620875080373,551.7620265080374,2.449731563063391,[ 5.67176151e-07 -5.84543026e-02],[-1.20000079  5.78709195],10.995181293762789,201452.45740992646,3.662771952907754,10.738377799876549,10.995181293762789,[ 5.67176151e-07 -5.84543026e-02],[-1.20000079  5.78709195]
0,-2.0,446.1220917897146,111.53033073393767,182.10644352243816,20723.74209876943,143.9574315510298,33162.75677239096,446.1220917897146,448.1220917897146,2.449787515260249,[ 8.61020027e-07 -3.36054638e-01],[-1.2000012 13.4476337],8.920603462616137,132651.02708956384,2.96997642597089,7.061183677792777,8.920603462616137,[ 8.61020027e-07 -3.36054638e-01],[-1.2000012 13.4476337]
0,-0.69482421875,694.4620876895074,173.5947615180659,283.49074553185176,50231.86157569094,224.12465633145084,80367.00280220511,694.4620876895074,695.1569119082574,2.4496816867395084,[3.55547847e-07 5.72011704e-01],[-1.20000049  4.75236037],13.888800868650046,321468.01120882045,4.627303247478415,17.13670627514827,13.888800868650046,[3.55547847e-07 5.72011704e-01],[-1.20000049  4.75236037]
0,-2.0,416.74308849232074,104.28846136681555,170.11314654380695,18062.399452776946,134.39642648812114,28938.482627034737,416.74308849232074,418.74308849232074,2.449799424437796,[ 9.86583878e-07 -8.58041557e-01],[-1.20000137  0.80626779],8.357056453053723,115753.93050813893,2.775607387975708,6.167640471774273,8.357056453053723,[ 9.86583878e-07 -8.58041557e-01],[-1.20000137  0.80626779]
0,-0.3857422,354.1990868358386,88.72443671328962,144.57928817196373,13031.144898221193,114.15404021856254,20903.17056831173,354.1990868358386,354.5848290358386,2.449860497407841,[1.36532127e-06 1.05462497e+00],[-1.2000019   5.36698336],7.095512338099424,83612.68227324692,2.3592743305092245,4.456648742801953,7.095512338099424,[1.36532127e-06 1.05462497e+00],[-1.2000019   5.36698336]
0,-0.60913086,400.4550866338542,100.16075740340897,163.46294042612254,16687.95556912955,129.18187012553096,26720.13289275409,400.4550866338542,401.0642174938542,2.4498218714892186,[1.06839587e-06 4.26914185e-01],[-1.20000148  3.94498607],8.011585152204457,106880.53157101636,2.6677448974395057,5.697631762060829,8.011585152204457,[1.06839587e-06 4.26914185e-01],[-1.20000148  3.94498607]
0,-1.537109375,747.4070878082041,186.8282005234065,305.105469992028,58184.571308242106,241.2147825242933,93089.34781905632,747.4070878082041,748.9441971832041,2.4496679388531866,[ 3.06983467e-07 -3.70000081e-01],[-1.20000043  7.30466595],14.95712985387118,372357.3912762253,4.980170544567533,19.84939974509252,14.95712985387118,[ 3.06983467e-07 -3.70000081e-01],[-1.20000043  7.30466595]
0,-2.0,788.7910813739422,196.75348074391331,322.00101977915523,64972.72455397047,254.8974785163056,103684.65673881592,788.7910813739422,790.7910813739422,2.4496539853039456,[ 2.75635813e-07 -2.54613774e-01],[-1.20000038  0.4743232 ],15.81453008625621,414738.62695526367,5.261044080516334,22.151179273342837,15.81453008625621,[ 2.75635813e-07 -2.54613774e-01],[-1.20000038  0.4743232 ]
0,-1.114013671875,733.5300844501644,183.44809375412893,299.44022186020015,56011.243365662216,236.66694607752518,89664.44646768589,733.5300844501644,734.6440981220394,2.449671189439033,[3.18704678e-07 8.08760120e-01],[-1.20000044  5.3059017 ],14.680639782409093,358657.78587074357,4.890076705262102,19.137855895397877,14.680639782409093,[3.18704678e-07 8.08760120e-01],[-1.20000044  5.3059017 ]
0,-1.528076171875,664.582084017215,166.24684372992272,271.2923909147084,45961.54831805761,214.38644620884412,73599.56136821896,664.582084017215,666.11016018909,2.449689362007035,[ 3.88221682e-07 -2.10277558e-01],[-1.20000054 -0.01856469],13.308085789177078,294398.24547287583,4.430505740923366,15.710400213787468,13.308085789177078,[ 3.88221682e-07 -2.10277558e-01],[-1.20000054 -0.01856469]
0,-2.0,611.971086067767,152.99215058100017,249.81408458699266,39000.478718637685,197.48538862062097,62407.07685803713,611.971086067767,613.971086067767,2.4497060967539666,[ 4.57793410e-07 -1.10797256e+00],[-1.20000064  7.55660573],12.279609853054218,249628.3074321485,4.078360793232069,13.312782696437871,12.279609853054218,[ 4.57793410e-07 -1.10797256e+00],[-1.20000064  7.55660573]
0,-2.0,312.30108801737504,78.09384512244387,127.47438268086945,10151.069593860504,100.75251656341148,16249.718239868751,312.30108801737504,314.30108801737504,2.44991253496961,[ 1.75571459e-06 -1.27712118e+00],[-1.20000244 13.24324978],6.2857020693561765,64998.872959475004,2.0795646582888088,3.4629842761357446,6.2857020693561765,[ 1.75571459e-06 -1.27712118e+00],[-1.20000244 13.24324978]
0,-2.0,435.11509513164503,108.71828474306713,177.6131805423404,19726.776464891373,140.45204329197696,31546.441902366,435.11509513164503,437.11509513164503,2.4497905718653574,[ 9.05086047e-07 -3.10148931e-01],[-1.20000126  1.58379936],8.693278678506886,126185.76760946399,2.895231452126101,6.710394978304841,8.693278678506886,[ 9.05086047e-07 -3.10148931e-01],[-1.20000126  1.58379936]
